s,lab,ldef
http://purl.obolibrary.org/obo/FBcv_0000444,hyperplasia,
http://purl.obolibrary.org/obo/FBcv_0000724,hypoplasia,
http://purl.obolibrary.org/obo/FBcv_0000723,neoplasia,
http://purl.obolibrary.org/obo/FBcv_0000445,tumorigenic,
http://purl.obolibrary.org/obo/FBcv_0000719,atrophy,_:b108
http://purl.obolibrary.org/obo/FBcv_0000681,sensory perception defective,_:b109
http://purl.obolibrary.org/obo/FBcv_0000407,auditory perception defective,_:b110
http://purl.obolibrary.org/obo/FBcv_0000682,touch perception defective,_:b111
http://purl.obolibrary.org/obo/FBcv_0000405,taste perception defective,_:b112
http://purl.obolibrary.org/obo/FBcv_0000404,smell perception defective,_:b113
http://purl.obolibrary.org/obo/FBcv_0004000,visual perception defective,_:b114
http://purl.obolibrary.org/obo/FBcv_0000386,long lived,
http://purl.obolibrary.org/obo/FBcv_0000389,paralytic,_:b115
http://purl.obolibrary.org/obo/FBcv_0000391,bang sensitive,
http://purl.obolibrary.org/obo/FBcv_0002015,partially lethal,_:b116
http://purl.obolibrary.org/obo/FBcv_0002010,majority die during P-stage,_:b117
http://purl.obolibrary.org/obo/FBcv_0000385,short lived,_:b118
http://purl.obolibrary.org/obo/FBcv_0002041,some die during embryonic stage,_:b119
http://purl.obolibrary.org/obo/FBcv_0000435,neuroanatomy defective,_:b120
http://purl.obolibrary.org/obo/FBcv_0000447,melanotic necrosis,
http://purl.obolibrary.org/obo/FBcv_0002002,lethal - all die before end of larval stage,_:b121
http://purl.obolibrary.org/obo/FBcv_0000430,cell polarity defective,_:b122
http://purl.obolibrary.org/obo/FBcv_0002035,majority die during prepupal stage,_:b123
http://purl.obolibrary.org/obo/FBcv_0000709,cell number defective,_:b124
http://purl.obolibrary.org/obo/FBcv_0000362,increased cell number,_:b125
http://purl.obolibrary.org/obo/FBcv_0000359,decreased cell number,_:b126
http://purl.obolibrary.org/obo/FBcv_0002006,lethal - all die during first instar larval stage,_:b127
http://purl.obolibrary.org/obo/FBcv_0002020,some die during P-stage,_:b128
http://purl.obolibrary.org/obo/FBcv_0002001,lethal - all die before end of first instar larval stage,_:b129
http://purl.obolibrary.org/obo/FBcv_0001325,exocytosis defective,_:b130
http://purl.obolibrary.org/obo/FBcv_0002021,some die during first instar larval stage,_:b131
http://purl.obolibrary.org/obo/FBcv_0002039,some die during pupal stage,_:b132
http://purl.obolibrary.org/obo/FBcv_0002036,majority die during pharate adult stage,_:b133
http://purl.obolibrary.org/obo/FBcv_0002034,majority die during pupal stage,_:b134
http://purl.obolibrary.org/obo/FBcv_0000352,partially lethal - majority die,_:b135
http://purl.obolibrary.org/obo/FBcv_0000686,axis specification defective,_:b136
http://purl.obolibrary.org/obo/FBcv_0000324,dorsal/ventral axis specification defective,_:b137
http://purl.obolibrary.org/obo/FBcv_0000438,electrophoretic variant,
http://purl.obolibrary.org/obo/FBcv_0002012,majority die during larval stage,_:b138
http://purl.obolibrary.org/obo/FBcv_0000394,circadian rhythm defective,_:b139
http://purl.obolibrary.org/obo/FBcv_0002025,lethal - all die during pharate adult stage,_:b140
http://purl.obolibrary.org/obo/FBcv_0002009,lethal - all die during third instar larval stage,_:b141
http://purl.obolibrary.org/obo/FBcv_0006001,increased fecundity,_:b142
http://purl.obolibrary.org/obo/FBcv_0000440,chemical sensitive,_:b143
http://purl.obolibrary.org/obo/FBcv_0002022,some die during second instar larval stage,_:b144
http://purl.obolibrary.org/obo/FBcv_0000380,non-enhancer of variegation,
http://purl.obolibrary.org/obo/FBcv_0000442,radiation sensitive,_:b145
http://purl.obolibrary.org/obo/FBcv_0000436,sex-determination defective,_:b146
http://purl.obolibrary.org/obo/FBcv_0000390,hypoactive,_:b147
http://purl.obolibrary.org/obo/FBcv_0000353,cell lethal,_:b148
http://purl.obolibrary.org/obo/FBcv_0000705,sleep defective,_:b149
http://purl.obolibrary.org/obo/FBcv_0002030,lethal - all die during pupal stage,_:b150
http://purl.obolibrary.org/obo/FBcv_0002013,majority die during second instar larval stage,_:b151
http://purl.obolibrary.org/obo/FBcv_0000413,phototaxis defective,_:b152
http://purl.obolibrary.org/obo/FBcv_0000382,non-suppressor of variegation,
http://purl.obolibrary.org/obo/FBcv_0002003,lethal - all die before end of second instar larval stage,_:b153
http://purl.obolibrary.org/obo/FBcv_0002008,lethal - all die during second instar larval stage,_:b154
http://purl.obolibrary.org/obo/FBcv_0002031,lethal - all die during prepupal stage,_:b155
http://purl.obolibrary.org/obo/FBcv_0000716,cell migration defective,_:b156
http://purl.obolibrary.org/obo/FBcv_0002027,lethal - all die before end of pupal stage,_:b157
