defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/FBcv_0000718	decreased cell growth	http://purl.obolibrary.org/obo/GO_0016049	cell growth
http://purl.obolibrary.org/obo/FBcv_0007516	decreased feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/FBcv_0007512	decreased rate of cell adhesion	http://purl.obolibrary.org/obo/GO_0007155	cell adhesion
http://purl.obolibrary.org/obo/FBcv_0007510	decreased rate of phototaxis	http://purl.obolibrary.org/obo/GO_0042331	phototaxis
http://purl.obolibrary.org/obo/FBcv_0007514	decreased sleep	http://purl.obolibrary.org/obo/GO_0030431	sleep
http://purl.obolibrary.org/obo/FBcv_0000791	delayed aging	http://purl.obolibrary.org/obo/GO_0007568	aging
http://purl.obolibrary.org/obo/FBcv_0000390	hypoactive	http://purl.obolibrary.org/obo/GO_0050879	multicellular organismal movement
