defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/FBcv_0000392	hyperactive	http://purl.obolibrary.org/obo/GO_0050879	multicellular organismal movement
http://purl.obolibrary.org/obo/FBcv_0000717	increased cell growth	http://purl.obolibrary.org/obo/GO_0016049	cell growth
http://purl.obolibrary.org/obo/FBcv_0007515	increased feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/FBcv_0007511	increased rate of cell adhesion	http://purl.obolibrary.org/obo/GO_0007155	cell adhesion
http://purl.obolibrary.org/obo/FBcv_0007509	increased rate of phototaxis	http://purl.obolibrary.org/obo/GO_0042331	phototaxis
http://purl.obolibrary.org/obo/FBcv_0007513	increased sleep	http://purl.obolibrary.org/obo/GO_0030431	sleep
http://purl.obolibrary.org/obo/FBcv_0000792	premature aging	http://purl.obolibrary.org/obo/GO_0007568	aging
