entity	shape	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001481	http://purl.obolibrary.org/obo/UPHENO_0041083
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001970	http://purl.obolibrary.org/obo/UPHENO_0042220
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002427	http://purl.obolibrary.org/obo/UPHENO_0041858
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002143	http://purl.obolibrary.org/obo/UPHENO_0041390
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000405	http://purl.obolibrary.org/obo/UPHENO_0041200
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000406	http://purl.obolibrary.org/obo/UPHENO_0041591
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000407	http://purl.obolibrary.org/obo/UPHENO_0041203
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002266	http://purl.obolibrary.org/obo/UPHENO_0076941
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001857	http://purl.obolibrary.org/obo/UPHENO_0041202
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001979	http://purl.obolibrary.org/obo/UPHENO_0076942
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000402	http://purl.obolibrary.org/obo/UPHENO_0041204
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002267	http://purl.obolibrary.org/obo/UPHENO_0041972
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001977	http://purl.obolibrary.org/obo/UPHENO_0042228
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000403	http://purl.obolibrary.org/obo/UPHENO_0041205
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000404	http://purl.obolibrary.org/obo/UPHENO_0041206
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002281	http://purl.obolibrary.org/obo/UPHENO_0041207
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001591	http://purl.obolibrary.org/obo/UPHENO_0041098
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001643	http://purl.obolibrary.org/obo/UPHENO_0042716
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001368	http://purl.obolibrary.org/obo/UPHENO_0041867
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002219	http://purl.obolibrary.org/obo/UPHENO_0041868
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001366	http://purl.obolibrary.org/obo/UPHENO_0041871
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001883	http://purl.obolibrary.org/obo/UPHENO_0041212
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001881	http://purl.obolibrary.org/obo/UPHENO_0042717
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001925	http://purl.obolibrary.org/obo/UPHENO_0042107
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001409	http://purl.obolibrary.org/obo/UPHENO_0042718
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002299	http://purl.obolibrary.org/obo/UPHENO_0041981
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002210	http://purl.obolibrary.org/obo/UPHENO_0041876
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001649	http://purl.obolibrary.org/obo/UPHENO_0041214
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001889	http://purl.obolibrary.org/obo/UPHENO_0042722
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002215	http://purl.obolibrary.org/obo/UPHENO_0041879
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001873	http://purl.obolibrary.org/obo/UPHENO_0041617
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001872	http://purl.obolibrary.org/obo/UPHENO_0041620
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001355	http://purl.obolibrary.org/obo/UPHENO_0041891
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001594	http://purl.obolibrary.org/obo/UPHENO_0041110
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001199	http://purl.obolibrary.org/obo/UPHENO_0041995
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001870	http://purl.obolibrary.org/obo/UPHENO_0042735
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0041111
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001593	http://purl.obolibrary.org/obo/UPHENO_0041113
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002165	http://purl.obolibrary.org/obo/UPHENO_0041410
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002286	http://purl.obolibrary.org/obo/UPHENO_0041998
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000944	http://purl.obolibrary.org/obo/UPHENO_0041114
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002285	http://purl.obolibrary.org/obo/UPHENO_0041762
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002164	http://purl.obolibrary.org/obo/UPHENO_0042473
