cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0072687	http://purl.obolibrary.org/obo/UPHENO_0090526
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0090524
