defined_class	defined_class_label	chemical	chemical_label
http://purl.obolibrary.org/obo/WBPhenotype_0001574	ATP levels variant	http://purl.obolibrary.org/obo/CHEBI_15422	ATP
http://purl.obolibrary.org/obo/WBPhenotype_0000552	GABA levels variant	http://purl.obolibrary.org/obo/CHEBI_16865	gamma-aminobutyric acid
http://purl.obolibrary.org/obo/WBPhenotype_0000507	acetylcholine levels variant	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
