entity	shape	defined_class
http://purl.obolibrary.org/obo/UBERON_0008200	http://purl.obolibrary.org/obo/PATO_0000407	http://purl.obolibrary.org/obo/UPHENO_0041025
http://purl.obolibrary.org/obo/UBERON_0000941	http://purl.obolibrary.org/obo/PATO_0001857	http://purl.obolibrary.org/obo/UPHENO_0041026
http://purl.obolibrary.org/obo/UBERON_0010166	http://purl.obolibrary.org/obo/PATO_0001410	http://purl.obolibrary.org/obo/UPHENO_0041027
http://purl.obolibrary.org/obo/UBERON_0000979	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041028
http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/PATO_0000403	http://purl.obolibrary.org/obo/UPHENO_0041029
http://purl.obolibrary.org/obo/UBERON_0008340	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041030
http://purl.obolibrary.org/obo/UBERON_0002134	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041031
http://purl.obolibrary.org/obo/UBERON_0004085	http://purl.obolibrary.org/obo/PATO_0000407	http://purl.obolibrary.org/obo/UPHENO_0041032
http://purl.obolibrary.org/obo/UBERON_0000995	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041033
http://purl.obolibrary.org/obo/UBERON_0012128	http://purl.obolibrary.org/obo/PATO_0000403	http://purl.obolibrary.org/obo/UPHENO_0041034
http://purl.obolibrary.org/obo/UBERON_0002470	http://purl.obolibrary.org/obo/PATO_0001883	http://purl.obolibrary.org/obo/UPHENO_0089461
http://purl.obolibrary.org/obo/UBERON_0005396	http://purl.obolibrary.org/obo/PATO_0001798	http://purl.obolibrary.org/obo/UPHENO_0081390
http://purl.obolibrary.org/obo/UBERON_0001041	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041035
http://purl.obolibrary.org/obo/UBERON_0001288	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041036
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001848	http://purl.obolibrary.org/obo/UPHENO_0041037
http://purl.obolibrary.org/obo/UBERON_0000975	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041038
http://purl.obolibrary.org/obo/UBERON_0000976	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041039
http://purl.obolibrary.org/obo/UBERON_0002412	http://purl.obolibrary.org/obo/PATO_0001786	http://purl.obolibrary.org/obo/UPHENO_0041040
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002254	http://purl.obolibrary.org/obo/UPHENO_0041041
http://purl.obolibrary.org/obo/UBERON_0002137	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041042
http://purl.obolibrary.org/obo/UBERON_0001049	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041043
http://purl.obolibrary.org/obo/UBERON_0011933	http://purl.obolibrary.org/obo/PATO_0001798	http://purl.obolibrary.org/obo/UPHENO_0041044
http://purl.obolibrary.org/obo/UBERON_0000033	http://purl.obolibrary.org/obo/PATO_0000411	http://purl.obolibrary.org/obo/UPHENO_0041045
http://purl.obolibrary.org/obo/UBERON_0000033	http://purl.obolibrary.org/obo/PATO_0000407	http://purl.obolibrary.org/obo/UPHENO_0041046
http://purl.obolibrary.org/obo/UBERON_0001049	http://purl.obolibrary.org/obo/PATO_0000967	http://purl.obolibrary.org/obo/UPHENO_0041047
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001950	http://purl.obolibrary.org/obo/UPHENO_0041048
http://purl.obolibrary.org/obo/UBERON_0001424	http://purl.obolibrary.org/obo/PATO_0001592	http://purl.obolibrary.org/obo/UPHENO_0041049
http://purl.obolibrary.org/obo/UBERON_0005356	http://purl.obolibrary.org/obo/PATO_0001784	http://purl.obolibrary.org/obo/UPHENO_0041050
http://purl.obolibrary.org/obo/UBERON_0001153	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041051
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001154	http://purl.obolibrary.org/obo/UPHENO_0041052
http://purl.obolibrary.org/obo/UBERON_0000964	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041053
http://purl.obolibrary.org/obo/UBERON_0007812	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041054
