behavior_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0079826
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0079827
http://purl.obolibrary.org/obo/NBO_0000221	http://purl.obolibrary.org/obo/UPHENO_0081793
http://purl.obolibrary.org/obo/NBO_0000211	http://purl.obolibrary.org/obo/UPHENO_0081794
