defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MGPO_0002213	increased free glycan levels	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan
http://purl.obolibrary.org/obo/MGPO_0002213	increased level of free glycan	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan
