defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MGPO_0002214	decreased free glycan levels	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan
http://purl.obolibrary.org/obo/MGPO_0002214	decreased level of free glycan	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan
