defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label
http://purl.obolibrary.org/obo/MGPO_0002218	abnormal free glycan levels in the urine	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan	http://purl.obolibrary.org/obo/UBERON_0001088	urine
http://purl.obolibrary.org/obo/MGPO_0002218	abnormal urine free glycan level	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan	http://purl.obolibrary.org/obo/UBERON_0001088	urine
