behavior_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000620	http://purl.obolibrary.org/obo/UPHENO_0012084
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0012047
http://purl.obolibrary.org/obo/NBO_0000608	http://purl.obolibrary.org/obo/UPHENO_0079820
