anatomical_entity	fractured	defined_class
http://purl.obolibrary.org/obo/UBERON_0000976	http://purl.obolibrary.org/obo/PATO_0040041	http://purl.obolibrary.org/obo/UPHENO_0081611
http://purl.obolibrary.org/obo/UBERON_0000979	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081612
http://purl.obolibrary.org/obo/UBERON_0000976	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081613
http://purl.obolibrary.org/obo/UBERON_0002414	http://purl.obolibrary.org/obo/PATO_0040040	http://purl.obolibrary.org/obo/UPHENO_0081614
http://purl.obolibrary.org/obo/UBERON_0000979	http://purl.obolibrary.org/obo/PATO_0040041	http://purl.obolibrary.org/obo/UPHENO_0081615
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0040041	http://purl.obolibrary.org/obo/UPHENO_0081616
http://purl.obolibrary.org/obo/UBERON_0004384	http://purl.obolibrary.org/obo/PATO_0040041	http://purl.obolibrary.org/obo/UPHENO_0081617
http://purl.obolibrary.org/obo/UBERON_0002413	http://purl.obolibrary.org/obo/PATO_0040040	http://purl.obolibrary.org/obo/UPHENO_0081618
http://purl.obolibrary.org/obo/UBERON_0002414	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081619
http://purl.obolibrary.org/obo/UBERON_0002347	http://purl.obolibrary.org/obo/PATO_0040040	http://purl.obolibrary.org/obo/UPHENO_0081620
http://purl.obolibrary.org/obo/UBERON_0002413	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081621
http://purl.obolibrary.org/obo/UBERON_0002347	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081622
http://purl.obolibrary.org/obo/UBERON_0002412	http://purl.obolibrary.org/obo/PATO_0040040	http://purl.obolibrary.org/obo/UPHENO_0081623
http://purl.obolibrary.org/obo/UBERON_0002412	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081624
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081625
http://purl.obolibrary.org/obo/UBERON_0004384	http://purl.obolibrary.org/obo/PATO_0040034	http://purl.obolibrary.org/obo/UPHENO_0081626
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0040040	http://purl.obolibrary.org/obo/UPHENO_0081627
