chemical_entity	defined_class
http://purl.obolibrary.org/obo/PR_000007975	http://purl.obolibrary.org/obo/UPHENO_0048689
http://purl.obolibrary.org/obo/CHEBI_60525	http://purl.obolibrary.org/obo/UPHENO_0048690
http://purl.obolibrary.org/obo/CHEBI_24431	http://purl.obolibrary.org/obo/UPHENO_0048687
