biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001555	http://purl.obolibrary.org/obo/UPHENO_0081978
http://purl.obolibrary.org/obo/GO_0030432	http://purl.obolibrary.org/obo/UBERON_0001555	http://purl.obolibrary.org/obo/UPHENO_0081979
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0005746	http://purl.obolibrary.org/obo/UPHENO_0078404
http://purl.obolibrary.org/obo/GO_0008152	http://purl.obolibrary.org/obo/GO_0005746	http://purl.obolibrary.org/obo/UPHENO_0078405
