id	subject	predicate	object	relation	knowledge_source
urn:uuid:9783545d-05fa-4b94-9da8-f1034269a7c8	HP:0000002	biolink:related_to	OBA:VT0001253	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:28cfb41b-6d05-4cb9-9d7c-81d9fb465378	HP:0000008	biolink:related_to	OBA:0004651	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:7e83e9cf-8d42-473e-822f-36d51ddb762f	HP:0000009	biolink:related_to	OBA:VT0005303	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:4529d30c-f2e7-41f9-8639-054dc45a55e3	HP:0000021	biolink:related_to	OBA:0002001	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:7ef92e58-6d40-4b02-b554-5bc7a6dd05f1	HP:0000022	biolink:related_to	OBA:0004647	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:4f5be800-9a8c-4f56-bb04-542587f9848a	HP:0000042	biolink:related_to	OBA:0002005	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:fb99fba1-e60d-4de3-a98c-4131ce14b329	HP:0000048	biolink:related_to	OBA:0002006	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:08e77b0c-055e-482e-876b-00771287c784	HP:0000056	biolink:related_to	OBA:1000310	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:82d09e36-4ad3-431e-90b7-613576d442d1	HP:0000058	biolink:related_to	OBA:VT0003511	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:0d43b80e-edd4-4440-b322-91b3d92a21b5	HP:0000080	biolink:related_to	OBA:VT0001919	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:4ab51ed2-4952-4031-b080-4d6bb3b08a2a	HP:0000091	biolink:related_to	OBA:VT0002703	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:46c2bcdd-5e79-4319-9368-007f47b2f7a1	HP:0000095	biolink:related_to	OBA:0004141	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d723c834-b5fb-41e8-a200-cb5da9196734	HP:0000103	biolink:related_to	OBA:0002011	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:55105716-4644-4fe7-a5e1-5d7530585a91	HP:0000110	biolink:related_to	OBA:0002000	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:71b4b632-7047-4e6c-984d-9196bbe782d8	HP:0000124	biolink:related_to	OBA:0002014	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:268a84a8-4d29-4890-bdb1-90fbc61aadb5	HP:0000133	biolink:related_to	OBA:0002016	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:1147a983-7219-4b13-9b00-aac1cbc471a3	HP:0000136	biolink:related_to	OBA:0002018	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:246ecda6-44dc-4a2e-9c4f-6e0a7994741d	HP:0000137	biolink:related_to	OBA:1000545	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:80d9b41b-87bc-4473-8af4-d6292e41e8ea	HP:0000140	biolink:related_to	OBA:1000473	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:31216deb-fc0d-40ba-9790-cc45a76dfdf3	HP:0000141	biolink:related_to	OBA:0002020	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:04172a69-d548-4e56-bcfd-661555403d6a	HP:0000142	biolink:related_to	OBA:VT0001139	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:29bfba36-7ffa-4a8a-9265-bcffa7e2f836	HP:0000151	biolink:related_to	OBA:0002023	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:0314eba9-6cbf-44e4-afca-39085c75eae8	HP:0000158	biolink:related_to	OBA:0002025	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:6fcdc1f0-6306-4355-b66d-ee6e5b36600b	HP:0000159	biolink:related_to	OBA:2045412	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d95ca7da-989b-4d59-b9c2-ec38ae6553c1	HP:0000163	biolink:related_to	OBA:0005949	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:45d20e60-0414-4139-9de8-c3940a99b8ed	HP:0000168	biolink:related_to	OBA:1000188	UPHENO:phenotypeToTrait	upheno-oba.json
