defined_class	defined_class_label	affected_entity_1_sub	affected_entity_1_sub_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/HP_0500274	Decreased proportion of immature gamma-delta T cells	http://purl.obolibrary.org/obo/CL_0000799	immature gamma-delta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0030384	Decreased proportion of marginal zone B cells	http://purl.obolibrary.org/obo/CL_0000845	marginal zone B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0030374	Decreased proportion of memory B cells	http://purl.obolibrary.org/obo/CL_0000787	memory B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0032183	Decreased proportion of memory T cells	http://purl.obolibrary.org/obo/CL_0000813	memory T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0030372	Decreased proportion of naive B cells	http://purl.obolibrary.org/obo/CL_0000788	naive B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0410378	Decreased proportion of naive CD4 T cells	http://purl.obolibrary.org/obo/CL_0000895	naive thymus-derived CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0031397	Decreased proportion of naive T cells	http://purl.obolibrary.org/obo/CL_0000898	naive T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0032129	Decreased proportion of plasmablasts	http://purl.obolibrary.org/obo/CL_0000980	plasmablast	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0030380	Decreased proportion of transitional B cells	http://purl.obolibrary.org/obo/CL_0000818	transitional stage B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0032126	Decreased proportion of unswitched memory B cells	http://purl.obolibrary.org/obo/CL_0000970	unswitched memory B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
http://purl.obolibrary.org/obo/HP_0025625	Elevated proportion of CD4+ effector memory T cells	http://purl.obolibrary.org/obo/CL_0001044	effector CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0002084	Encephalocele	http://purl.obolibrary.org/obo/UBERON_0000479	tissue	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/UBERON_0003129	skull	http://purl.obolibrary.org/obo/PATO_0001646	protruding out of
http://purl.obolibrary.org/obo/HP_0500264	Increased helper T cell proportion	http://purl.obolibrary.org/obo/CL_0000912	helper T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0020112	Increased proportion of CD4+CD25+ regulatory T cells	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0032219	Increased proportion of CD4-positive T cells	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0410391	Increased proportion of CD4-positive, alpha-beta memory T cells	http://purl.obolibrary.org/obo/CL_0000897	CD4-positive, alpha-beta memory T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0500265	Increased proportion of CD8-positive, alpha-beta TEMRA T cells	http://purl.obolibrary.org/obo/CL_0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
