defined_class	id
http://purl.obolibrary.org/obo/UPHENO_0000052	http://purl.obolibrary.org/obo/GO_0005575-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000053	http://purl.obolibrary.org/obo/GO_0005930-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000054	http://purl.obolibrary.org/obo/GO_0005777-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000055	http://purl.obolibrary.org/obo/CL_0000000-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000056	http://purl.obolibrary.org/obo/GO_0098687-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000057	http://purl.obolibrary.org/obo/CL_0000200-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000058	http://purl.obolibrary.org/obo/GO_0016020-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000059	http://purl.obolibrary.org/obo/GO_0005739-abnormalMorphology.tsv
http://purl.obolibrary.org/obo/UPHENO_0000060	http://purl.obolibrary.org/obo/GO_0051716-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000061	http://purl.obolibrary.org/obo/BSPO_0000679-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000062	http://purl.obolibrary.org/obo/BSPO_0000677-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000063	http://purl.obolibrary.org/obo/BSPO_0000678-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000064	http://purl.obolibrary.org/obo/GO_0046483-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000065	http://purl.obolibrary.org/obo/GO_0048666-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000066	http://purl.obolibrary.org/obo/GO_0002790-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000067	http://purl.obolibrary.org/obo/GO_0006911-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000068	http://purl.obolibrary.org/obo/BSPO_0000684-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000069	http://purl.obolibrary.org/obo/GO_0006915-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000070	http://purl.obolibrary.org/obo/BSPO_0000201-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000071	http://purl.obolibrary.org/obo/BSPO_0000685-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000072	http://purl.obolibrary.org/obo/BSPO_0000682-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000073	http://purl.obolibrary.org/obo/GO_0006913-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000074	http://purl.obolibrary.org/obo/BSPO_0000683-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000075	http://purl.obolibrary.org/obo/BSPO_0000680-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000076	http://purl.obolibrary.org/obo/GO_0033058-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000077	http://purl.obolibrary.org/obo/GO_0098813-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000078	http://purl.obolibrary.org/obo/GO_0050877-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000079	http://purl.obolibrary.org/obo/BSPO_0000688-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000080	http://purl.obolibrary.org/obo/GO_0051726-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000081	http://purl.obolibrary.org/obo/BSPO_0000689-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000082	http://purl.obolibrary.org/obo/BSPO_0000202-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000083	http://purl.obolibrary.org/obo/BSPO_0000686-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000084	http://purl.obolibrary.org/obo/BSPO_0000687-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000085	http://purl.obolibrary.org/obo/GO_0071684-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000086	http://purl.obolibrary.org/obo/GO_0006807-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000087	http://purl.obolibrary.org/obo/GO_0006928-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000088	http://purl.obolibrary.org/obo/GO_0048569-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000089	http://purl.obolibrary.org/obo/GO_1901990-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000090	http://purl.obolibrary.org/obo/GO_0045055-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000091	http://purl.obolibrary.org/obo/GO_1901991-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000092	http://purl.obolibrary.org/obo/GO_0048565-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000093	http://purl.obolibrary.org/obo/GO_0006810-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000094	http://purl.obolibrary.org/obo/GO_0006935-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000095	http://purl.obolibrary.org/obo/GO_0036464-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000096	http://purl.obolibrary.org/obo/GO_0051705-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000097	http://purl.obolibrary.org/obo/GO_0051703-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000098	http://purl.obolibrary.org/obo/GO_0051704-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000099	http://purl.obolibrary.org/obo/GO_0060537-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000100	http://purl.obolibrary.org/obo/GO_0005730-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000101	http://purl.obolibrary.org/obo/GO_0098840-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000102	http://purl.obolibrary.org/obo/BSPO_0000112-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000103	http://purl.obolibrary.org/obo/GO_0005859-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000104	http://purl.obolibrary.org/obo/GO_0032094-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000105	http://purl.obolibrary.org/obo/GO_0036211-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000106	http://purl.obolibrary.org/obo/GO_0050789-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000107	http://purl.obolibrary.org/obo/GO_0048102-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000108	http://purl.obolibrary.org/obo/GO_0048468-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000109	http://purl.obolibrary.org/obo/GO_0048589-abnormal.tsv
