upheno_id	upheno_label	parent	comment
ID		SC% SPLIT=|	A rdfs:comment
UPHENO:7000000	infertility; sterile	UPHENO:0002536|UPHENO:0002267|UPHENO:0002530|UPHENO:0002949|UPHENO:0002385|UPHENO:0002525|UPHENO:0001002|UPHENO:0001003|UPHENO:0002378|UPHENO:0002568|UPHENO:0049587|UPHENO:0002963|UPHENO:0003055|UPHENO:0082875|UPHENO:0002642|UPHENO:0002269|UPHENO:0001001	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000364 (sterile), APO:0000045 (sterile), WBPhenotype:0000688 (sterile), HP:0000789 (Infertility)
