defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/XPO_0103892	Decreased number of sarcomere	http://purl.obolibrary.org/obo/GO_0030017	sarcomere
http://purl.obolibrary.org/obo/XPO_0103894	Decreased number of spindle microtubule	http://purl.obolibrary.org/obo/GO_0005876	spindle microtubule
