cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0005794	http://purl.obolibrary.org/obo/UPHENO_0067642
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0067691
http://purl.obolibrary.org/obo/GO_0005770	http://purl.obolibrary.org/obo/UPHENO_0067736
http://purl.obolibrary.org/obo/GO_0005694	http://purl.obolibrary.org/obo/UPHENO_0067694
http://purl.obolibrary.org/obo/GO_0044840	http://purl.obolibrary.org/obo/UPHENO_0067737
http://purl.obolibrary.org/obo/GO_0005930	http://purl.obolibrary.org/obo/UPHENO_0067738
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0067645
http://purl.obolibrary.org/obo/GO_0031965	http://purl.obolibrary.org/obo/UPHENO_0067739
http://purl.obolibrary.org/obo/GO_0005777	http://purl.obolibrary.org/obo/UPHENO_0067699
http://purl.obolibrary.org/obo/GO_0005730	http://purl.obolibrary.org/obo/UPHENO_0067701
http://purl.obolibrary.org/obo/GO_0000781	http://purl.obolibrary.org/obo/UPHENO_0067651
http://purl.obolibrary.org/obo/GO_0005911	http://purl.obolibrary.org/obo/UPHENO_0067740
http://purl.obolibrary.org/obo/GO_0030054	http://purl.obolibrary.org/obo/UPHENO_0067741
http://purl.obolibrary.org/obo/GO_0005739	http://purl.obolibrary.org/obo/UPHENO_0067707
http://purl.obolibrary.org/obo/GO_0031982	http://purl.obolibrary.org/obo/UPHENO_0067742
http://purl.obolibrary.org/obo/GO_0055037	http://purl.obolibrary.org/obo/UPHENO_0067743
http://purl.obolibrary.org/obo/GO_0043186	http://purl.obolibrary.org/obo/UPHENO_0067744
http://purl.obolibrary.org/obo/GO_0005783	http://purl.obolibrary.org/obo/UPHENO_0067712
http://purl.obolibrary.org/obo/GO_0043005	http://purl.obolibrary.org/obo/UPHENO_0067664
http://purl.obolibrary.org/obo/GO_0045202	http://purl.obolibrary.org/obo/UPHENO_0067713
http://purl.obolibrary.org/obo/GO_0030424	http://purl.obolibrary.org/obo/UPHENO_0067666
http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0067668
http://purl.obolibrary.org/obo/GO_0030425	http://purl.obolibrary.org/obo/UPHENO_0067669
http://purl.obolibrary.org/obo/GO_0070160	http://purl.obolibrary.org/obo/UPHENO_0067745
http://purl.obolibrary.org/obo/GO_0005884	http://purl.obolibrary.org/obo/UPHENO_0067746
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0067671
http://purl.obolibrary.org/obo/GO_0005604	http://purl.obolibrary.org/obo/UPHENO_0067672
http://purl.obolibrary.org/obo/GO_0005769	http://purl.obolibrary.org/obo/UPHENO_0067747
http://purl.obolibrary.org/obo/GO_0005768	http://purl.obolibrary.org/obo/UPHENO_0067748
http://purl.obolibrary.org/obo/GO_0000932	http://purl.obolibrary.org/obo/UPHENO_0067749
http://purl.obolibrary.org/obo/GO_0060109	http://purl.obolibrary.org/obo/UPHENO_0067750
http://purl.obolibrary.org/obo/GO_0005929	http://purl.obolibrary.org/obo/UPHENO_0067683
http://purl.obolibrary.org/obo/GO_0031012	http://purl.obolibrary.org/obo/UPHENO_0067718
http://purl.obolibrary.org/obo/GO_0060107	http://purl.obolibrary.org/obo/UPHENO_0067751
